class,support,accuracy,mean_top1_prob,median_top1_prob,mean_true_class_prob,median_true_class_prob,mean_margin,median_margin,mean_entropy,median_entropy
46,10,1.0,0.9998329281806946,0.9998834729194641,0.9998329281806946,0.9998834729194641,0.999731719493866,0.9998103380203247,0.0017816966865211725,0.001311653759330511
47,10,1.0,0.9999221563339233,0.9999326467514038,0.9999221563339233,0.9999326467514038,0.9999106526374817,0.999923586845398,0.0010467853862792253,0.0009236331097781658
48,10,1.0,0.9997953176498413,0.9998278617858887,0.9997953176498413,0.9998278617858887,0.9997299313545227,0.999769389629364,0.0024269481655210257,0.002087461529299617
49,10,1.0,0.9996045827865601,0.9996117353439331,0.9996045827865601,0.9996117353439331,0.9994789361953735,0.9994779825210571,0.0045432173646986485,0.0044466229155659676
50,10,1.0,0.9998553991317749,0.9998626708984375,0.9998553991317749,0.9998626708984375,0.9998313784599304,0.999840259552002,0.0018753824988380075,0.0017945358995348215
51,10,1.0,0.9996808171272278,0.9997109174728394,0.9996808171272278,0.9997109174728394,0.9996469616889954,0.999680757522583,0.003948861733078957,0.003607571590691805
52,10,1.0,0.9999481439590454,0.9999480843544006,0.9999481439590454,0.9999480843544006,0.9999338388442993,0.9999345541000366,0.0006936917779967189,0.000697196985129267
53,10,1.0,0.9999383687973022,0.9999397397041321,0.9999383687973022,0.9999397397041321,0.999921977519989,0.9999247789382935,0.0008163859019987285,0.0008039801614359021
54,10,1.0,0.9998064041137695,0.9998586177825928,0.9998064041137695,0.9998586177825928,0.9997804760932922,0.9998444318771362,0.00243459758348763,0.0018542456673458219
55,10,1.0,0.9999246597290039,0.9999266862869263,0.9999246597290039,0.9999266862869263,0.9999058842658997,0.9999116659164429,0.0010079486528411508,0.0009877493139356375
56,10,1.0,0.9977176785469055,0.999870240688324,0.9977176785469055,0.999870240688324,0.9957281351089478,0.9998178482055664,0.014089049771428108,0.0015595565782859921
57,10,1.0,0.9996007680892944,0.9995841383934021,0.9996007680892944,0.9995841383934021,0.9995554089546204,0.999538779258728,0.004834383260458708,0.005028111860156059
58,10,1.0,0.9999210238456726,0.999920666217804,0.9999210238456726,0.999920666217804,0.9999051094055176,0.9999041557312012,0.0010677612153813243,0.001074225758202374
59,10,1.0,0.9999231100082397,0.9999414086341858,0.9999231100082397,0.9999414086341858,0.9999119639396667,0.9999338388442993,0.0010233058128505945,0.0008105742745101452
60,10,1.0,0.977796733379364,0.9996049404144287,0.977796733379364,0.9996049404144287,0.9672505259513855,0.9994829297065735,0.09636964648962021,0.004495070781558752
61,10,1.0,0.9997820854187012,0.9998660683631897,0.9997820854187012,0.9998660683631897,0.9997173547744751,0.9998452663421631,0.002591294003650546,0.001720630214549601
62,10,1.0,0.9997714161872864,0.9999423027038574,0.9997714161872864,0.9999423027038574,0.9997037053108215,0.9999256134033203,0.0025290059857070446,0.0007708956836722791
63,10,1.0,0.9998747706413269,0.9998994469642639,0.9998747706413269,0.9998994469642639,0.9998526573181152,0.9998836517333984,0.0016318175476044416,0.0013464544899761677
64,10,1.0,0.9998224973678589,0.9998174905776978,0.9998224973678589,0.9998174905776978,0.9997918009757996,0.9997884035110474,0.0022569955326616764,0.002346227876842022
65,10,1.0,0.9997846484184265,0.999813973903656,0.9997846484184265,0.999813973903656,0.9997178912162781,0.9997625350952148,0.0025703469291329384,0.002296384423971176
66,10,1.0,0.9999529719352722,0.9999620914459229,0.9999529719352722,0.9999620914459229,0.9999446868896484,0.9999556541442871,0.0006466014892794192,0.0005323607474565506
67,10,1.0,0.9999175071716309,0.9999201893806458,0.9999175071716309,0.9999201893806458,0.9999030828475952,0.9999061822891235,0.0011294259456917644,0.0010957529302686453
68,10,1.0,0.9996660351753235,0.9998983144760132,0.9996660351753235,0.9998983144760132,0.9995777010917664,0.9998682737350464,0.0036200876347720623,0.0013125080149620771
69,10,1.0,0.9998742341995239,0.9998757839202881,0.9998742341995239,0.9998757839202881,0.9998548626899719,0.999854564666748,0.0016275516245514154,0.0016069035045802593
70,10,1.0,0.9998437166213989,0.9999150633811951,0.9998437166213989,0.9999150633811951,0.99982088804245,0.9999034404754639,0.001966561423614621,0.0011723977513611317
71,10,1.0,0.9998611211776733,0.999852180480957,0.9998611211776733,0.999852180480957,0.9998435974121094,0.9998350739479065,0.0018188543617725372,0.0019244099967181683
72,10,1.0,0.9999378323554993,0.9999583959579468,0.9999378323554993,0.9999583959579468,0.9999151229858398,0.9999430179595947,0.000802007969468832,0.0005721206543967128
73,10,1.0,0.9998947381973267,0.9999110698699951,0.9998947381973267,0.9999110698699951,0.9998816251754761,0.9998996257781982,0.0014066522708162665,0.0012101687025278807
74,10,1.0,0.999786376953125,0.9997714161872864,0.999786376953125,0.9997714161872864,0.9997346997261047,0.9997243881225586,0.0025603151880204678,0.00277020619250834
75,10,1.0,0.9998766779899597,0.9999251961708069,0.9998766779899597,0.9999251961708069,0.9998478889465332,0.9999181032180786,0.0015127543592825532,0.0010267016477882862
76,10,1.0,0.9999574422836304,0.9999632239341736,0.9999574422836304,0.9999632239341736,0.9999464750289917,0.9999549388885498,0.0005782503867521882,0.0005170929944142699
77,10,1.0,0.999958872795105,0.999959409236908,0.999958872795105,0.999959409236908,0.9999517202377319,0.9999527931213379,0.0005817294004373252,0.0005783839151263237
