true_class,rank,soft_neighbor_class,mean_probability
75,2,36,2.1487041522050276e-05
75,3,39,1.3484344890457578e-05
75,4,91,7.401989023492206e-06
75,5,76,7.166751402110094e-06
76,1,84,1.107973002945073e-05
76,2,94,8.493208952131681e-06
76,3,87,2.4468113224429544e-06
76,4,97,2.419162456135382e-06
76,5,62,2.056943230854813e-06
77,1,24,6.414135896193329e-06
77,2,44,5.094177595310612e-06
77,3,68,4.770235136675183e-06
77,4,3,2.8274648684600834e-06
77,5,54,2.429433607176179e-06
78,1,80,2.1907504560658708e-05
78,2,96,1.85289991350146e-05
78,3,9,1.758378311933484e-05
78,4,25,1.6604590200586244e-05
78,5,2,1.5041821825434454e-05
79,1,43,3.394336818018928e-05
79,2,64,1.1890371752087958e-05
79,3,85,1.1856619494210463e-05
79,4,42,7.501345862692688e-06
79,5,17,7.004974122537533e-06
80,1,29,0.15228824317455292
80,2,60,0.0449826642870903
80,3,51,0.0007539332145825028
80,4,14,0.0001476972975069657
80,5,12,0.00013367511564865708
81,1,82,0.0006394666852429509
81,2,62,4.134595292271115e-05
81,3,87,2.3133168724598363e-05
81,4,83,1.042735038936371e-05
81,5,36,9.27093242353294e-06
82,1,46,0.0001594135828781873
82,2,81,6.574248982360587e-05
82,3,74,2.3420227080350742e-05
82,4,32,1.4558087059413083e-05
82,5,95,6.937704711162951e-06
83,1,81,1.199263715534471e-05
83,2,10,1.1335467206663452e-05
83,3,72,1.1164684110553935e-05
83,4,88,1.0876903616008349e-05
83,5,20,1.0603135706332978e-05
84,1,94,0.4776492714881897
84,2,76,0.00043674843618646264
84,3,34,0.00030465953750535846
84,4,48,0.00026426688418723643
84,5,15,8.41809087432921e-05
85,1,79,1.6408124793088064e-05
85,2,6,1.3108127859595697e-05
85,3,57,6.958949143154314e-06
85,4,88,6.413812116079498e-06
85,5,96,5.653369044011924e-06
86,1,66,8.010603778529912e-05
86,2,87,1.365657226415351e-05
86,3,81,1.2138913916714955e-05
86,4,4,1.0697613106458448e-05
86,5,21,9.604004844732117e-06
87,1,99,2.097726974170655e-05
87,2,62,5.259286808723118e-06
87,3,75,4.459075626073172e-06
87,4,76,3.846164418064291e-06
87,5,34,3.629471393651329e-06
88,1,6,1.1472730875539128e-05
88,2,17,1.0841531548066996e-05
88,3,69,7.545229891547933e-06
88,4,57,4.6961977204773575e-06
88,5,85,3.4761203551170183e-06
89,1,0,5.221592800808139e-05
89,2,46,4.506460754782893e-05
89,3,12,7.565794476249721e-06
89,4,63,5.588738531514537e-06
89,5,97,2.0138163563387934e-06
90,1,1,7.135271152947098e-05
90,2,80,6.845842108305078e-06
90,3,9,5.639335995510919e-06
90,4,74,5.25603036294342e-06
90,5,54,5.226143912295811e-06
91,1,36,1.2233928828209173e-05
91,2,53,3.5408168059802847e-06
91,3,76,3.2124444260261953e-06
91,4,40,2.5692486360640032e-06
91,5,34,2.4861976726242574e-06
92,1,90,7.484556408599019e-05
92,2,59,2.1548677977989428e-05
92,3,40,1.8799019017023966e-05
92,4,51,1.5763045666972175e-05
92,5,21,1.4605351680074818e-05
93,1,92,2.228733865194954e-05
93,2,70,1.5164472642936744e-05
93,3,64,9.86626218946185e-06
93,4,29,6.987292636040365e-06
93,5,47,5.568345841311384e-06
94,1,84,0.5167949795722961
94,2,76,4.268222619430162e-05
94,3,34,3.83000988222193e-05
94,4,28,1.8602519048727117e-05
94,5,97,1.5625299056409858e-05
95,1,19,7.050271960906684e-05
95,2,82,5.058823080617003e-05
95,3,46,4.1352213884238154e-05
95,4,55,2.4512581148883328e-05
95,5,15,1.3613386727229226e-05
96,1,34,0.0008332267170771956
96,2,33,0.0001144284033216536
96,3,20,0.00011159256246173754
96,4,26,9.209239215124398e-05
96,5,85,8.869585144566372e-05
97,1,30,7.825590728316456e-06
97,2,89,7.723884664301295e-06
97,3,52,7.096125045791268e-06
97,4,8,6.4868872868828475e-06
97,5,9,2.361868610023521e-06
98,1,15,0.0021673173177987337
98,2,56,0.00021820413530804217
98,3,34,4.5099772250978276e-05
98,4,41,2.4457976905978285e-05
98,5,53,1.5232379155349918e-05
99,1,28,2.3816035536583513e-05
99,2,87,1.4178891433402896e-05
99,3,91,1.2494931070250459e-05
99,4,84,6.174859208840644e-06
99,5,94,5.52086657990003e-06
